policy,budget,outcome,no_email_rate,mens_rate,womens_rate,contact_rate,budget_feasible,incremental_value,ci_low,ci_high
random,0.9,visit,0.1,0.453828125,0.446171875,0.9,True,0.05390625,0.042533203125,0.06715429687499999
random,0.9,conversion,0.1,0.453828125,0.446171875,0.9,True,0.0065625,0.003392578125,0.010201171874999998
random,0.9,spend,0.1,0.453828125,0.446171875,0.9,True,0.9005320312500001,0.2495818359375,1.5562988085937486
random,0.95,visit,0.05,0.474921875,0.475078125,0.95,True,0.058125,0.04332421875,0.0703125
random,0.95,conversion,0.05,0.474921875,0.475078125,0.95,True,0.006328125,0.00350390625,0.00984375
random,0.95,spend,0.05,0.474921875,0.475078125,0.95,True,0.7599515625000001,0.31676771484375,1.5200621484374996
random,1.0,visit,0.0,0.5046875,0.4953125,1.0,True,0.065859375,0.052476562500000004,0.07948828124999999
random,1.0,conversion,0.0,0.5046875,0.4953125,1.0,True,0.00515625,0.001048828125,0.008560546874999998
random,1.0,spend,0.0,0.5046875,0.4953125,1.0,True,0.701315625,0.09983431640624991,1.2722973632812495
learned,0.05,visit,0.95,0.029140625,0.020859375,0.05,True,-0.000234375,-0.005080078125,0.003650390624999994
learned,0.05,conversion,0.95,0.029140625,0.020859375,0.05,True,-0.00046875,-0.00140625,0.000357421874999998
learned,0.05,spend,0.95,0.029140625,0.020859375,0.05,True,-0.0984,-0.23564132812500002,0.0036901757812499397
learned,0.1,visit,0.9,0.0609375,0.0390625,0.1,True,0.00421875,-0.002466796875,0.008917968749999996
learned,0.1,conversion,0.9,0.0609375,0.0390625,0.1,True,0.00046875,-0.000703125,0.0015292968749999979
learned,0.1,spend,0.9,0.0609375,0.0390625,0.1,True,0.15644765625,-0.13774365234375002,0.4751690624999999
learned,0.15,visit,0.85,0.090546875,0.059453125,0.15,True,0.008671875,0.00045703125,0.014431640624999994
learned,0.15,conversion,0.85,0.090546875,0.059453125,0.15,True,0.0009375,-0.000591796875,0.00234375
learned,0.15,spend,0.85,0.090546875,0.059453125,0.15,True,0.20751328125000001,-0.13067830078125,0.5743946484374999
learned,0.2,visit,0.8,0.11875,0.08125,0.2,True,0.011953125,0.003849609375,0.018638671875
learned,0.2,conversion,0.8,0.11875,0.08125,0.2,True,0.0009375,-0.000826171875,0.002466796874999998
learned,0.2,spend,0.8,0.11875,0.08125,0.2,True,0.20491875,-0.14405736328125002,0.5705168554687499
learned,0.25,visit,0.75,0.1478125,0.1021875,0.25,True,0.015703125,0.00723046875,0.021808593749999994
learned,0.25,conversion,0.75,0.1478125,0.1021875,0.25,True,0.00140625,-0.00046875,0.0030585937499999958
learned,0.25,spend,0.75,0.1478125,0.1021875,0.25,True,0.14739843749999998,-0.22363605468749997,0.6192628710937496
learned,0.3,visit,0.7,0.1759375,0.1240625,0.3,True,0.02015625,0.01125,0.028248046875
learned,0.3,conversion,0.7,0.1759375,0.1240625,0.3,True,0.001640625,-0.000234375,0.003404296874999998
learned,0.3,spend,0.7,0.1759375,0.1240625,0.3,True,0.15442734375,-0.21767689453125005,0.6272421679687494
learned,0.35,visit,0.65,0.203671875,0.146328125,0.35,True,0.02390625,0.015703125,0.032021484374999985
learned,0.35,conversion,0.65,0.203671875,0.146328125,0.35,True,0.00234375,0.000703125,0.0046875
learned,0.35,spend,0.65,0.203671875,0.146328125,0.35,True,0.18382968750000003,-0.20112146484375001,0.6396366796874998
learned,0.4,visit,0.6,0.23078125,0.16921875,0.4,True,0.028359375,0.019095703125000002,0.034921875
learned,0.4,conversion,0.6,0.23078125,0.16921875,0.4,True,0.001875,-0.00012304687499999997,0.004107421874999998
learned,0.4,spend,0.6,0.23078125,0.16921875,0.4,True,0.16296093749999996,-0.2254053515625,0.6139444921874999
learned,0.45,visit,0.55,0.25921875,0.19078125,0.45,True,0.03140625,0.02129296875,0.0403125
learned,0.45,conversion,0.55,0.25921875,0.19078125,0.45,True,0.00140625,-0.000591796875,0.003404296874999998
learned,0.45,spend,0.55,0.25921875,0.19078125,0.45,True,0.1084734375,-0.27236519531250003,0.5419746093749992
learned,0.5,visit,0.5,0.2865625,0.2134375,0.5,True,0.032109375,0.021908203125,0.041841796875
learned,0.5,conversion,0.5,0.2865625,0.2134375,0.5,True,0.002109375,-0.000234375,0.00421875
