policy,budget,budget_feasible,contact_rate,incremental_spend_per_customer,gross_margin,email_cost,incremental_revenue,gross_profit,campaign_cost,net_profit,roi,value_per_1000,break_even_cost
propensity,0.4,True,0.4,0.3685125000000001,0.7,0.02,4716.960000000001,3301.8720000000003,102.4,3199.472,31.24484375,249.95875,0.644896875
propensity,0.4,True,0.4,0.3685125000000001,0.7,0.05,4716.960000000001,3301.8720000000003,256.00000000000006,3045.8720000000003,11.8979375,237.95875000000004,0.644896875
propensity,0.4,True,0.4,0.3685125000000001,0.7,0.1,4716.960000000001,3301.8720000000003,512.0000000000001,2789.8720000000003,5.44896875,217.95875000000004,0.644896875
propensity,0.45,True,0.45,0.32877773437500013,0.3,0.02,4208.355000000001,1262.5065000000004,115.20000000000002,1147.3065000000004,9.959257812500002,89.63332031250003,0.21918515625000007
propensity,0.45,True,0.45,0.32877773437500013,0.3,0.05,4208.355000000001,1262.5065000000004,288.00000000000006,974.5065000000004,3.3837031250000007,76.13332031250003,0.21918515625000007
propensity,0.45,True,0.45,0.32877773437500013,0.3,0.1,4208.355000000001,1262.5065000000004,576.0000000000001,686.5065000000003,1.1918515625000003,53.633320312500025,0.21918515625000007
propensity,0.45,True,0.45,0.32877773437500013,0.5,0.02,4208.355000000001,2104.1775000000007,115.20000000000002,1988.9775000000006,17.265429687500003,155.38886718750007,0.36530859375000013
propensity,0.45,True,0.45,0.32877773437500013,0.5,0.05,4208.355000000001,2104.1775000000007,288.00000000000006,1816.1775000000007,6.306171875000001,141.88886718750004,0.36530859375000013
propensity,0.45,True,0.45,0.32877773437500013,0.5,0.1,4208.355000000001,2104.1775000000007,576.0000000000001,1528.1775000000007,2.6530859375000007,119.38886718750005,0.36530859375000013
propensity,0.45,True,0.45,0.32877773437500013,0.7,0.02,4208.355000000001,2945.848500000001,115.20000000000002,2830.648500000001,24.571601562500007,221.1444140625001,0.5114320312500001
propensity,0.45,True,0.45,0.32877773437500013,0.7,0.05,4208.355000000001,2945.848500000001,288.00000000000006,2657.848500000001,9.228640625000002,207.6444140625001,0.5114320312500001
propensity,0.45,True,0.45,0.32877773437500013,0.7,0.1,4208.355000000001,2945.848500000001,576.0000000000001,2369.848500000001,4.114320312500001,185.14441406250006,0.5114320312500001
propensity,0.5,True,0.5,0.40803398437500005,0.3,0.02,5222.835000000001,1566.8505000000002,128.0,1438.8505000000002,11.241019531250002,112.41019531250002,0.24482039062500002
propensity,0.5,True,0.5,0.40803398437500005,0.3,0.05,5222.835000000001,1566.8505000000002,320.0,1246.8505000000002,3.8964078125000006,97.41019531250002,0.24482039062500002
propensity,0.5,True,0.5,0.40803398437500005,0.3,0.1,5222.835000000001,1566.8505000000002,640.0,926.8505000000002,1.4482039062500003,72.41019531250002,0.24482039062500002
propensity,0.5,True,0.5,0.40803398437500005,0.5,0.02,5222.835000000001,2611.4175000000005,128.0,2483.4175000000005,19.401699218750004,194.01699218750005,0.40803398437500005
propensity,0.5,True,0.5,0.40803398437500005,0.5,0.05,5222.835000000001,2611.4175000000005,320.0,2291.4175000000005,7.160679687500002,179.01699218750002,0.40803398437500005
propensity,0.5,True,0.5,0.40803398437500005,0.5,0.1,5222.835000000001,2611.4175000000005,640.0,1971.4175000000005,3.080339843750001,154.01699218750002,0.40803398437500005
propensity,0.5,True,0.5,0.40803398437500005,0.7,0.02,5222.835000000001,3655.9845000000005,128.0,3527.9845000000005,27.562378906250004,275.6237890625,0.571247578125
propensity,0.5,True,0.5,0.40803398437500005,0.7,0.05,5222.835000000001,3655.9845000000005,320.0,3335.9845000000005,10.424951562500002,260.62378906250007,0.571247578125
propensity,0.5,True,0.5,0.40803398437500005,0.7,0.1,5222.835000000001,3655.9845000000005,640.0,3015.9845000000005,4.712475781250001,235.62378906250004,0.571247578125
propensity,0.55,True,0.55,0.22747734375000014,0.3,0.02,2911.710000000002,873.5130000000005,140.8,732.7130000000004,5.203927556818185,57.24320312500003,0.1240785511363637
