policy,budget,outcome,contact_rate,contacts,budget_feasible,incremental_value,ci_low,ci_high,delta_vs_propensity,delta_ci_low,delta_ci_high
random,0.4,visit,0.4,5120,True,0.026484375,0.01872363281250001,0.03562792968750001,-0.005507812500000011,-0.01466308593750001,0.005041992187499991
random,0.4,spend,0.4,5120,True,0.46619531250000007,0.20962678710937502,0.7984286425781251,0.0976828125,-0.235699365234375,0.5691523242187501
random,0.45,visit,0.45,5760,True,0.027656250000000004,0.019318359375000017,0.03656835937500001,-0.007148437500000004,-0.01641210937500001,0.003401367187499994
random,0.45,spend,0.45,5760,True,0.3851414062500001,0.012003955078125133,0.7577342578125,0.056363671874999965,-0.24963547851562495,0.39032343750000004
random,0.5,visit,0.5,6400,True,0.0324609375,0.022702148437500017,0.04102441406250001,-0.002929687500000007,-0.011850585937500012,0.007526367187500012
random,0.5,spend,0.5,6400,True,0.42178945312500005,0.08722034179687506,0.8293207031250001,0.01375546875,-0.331060400390625,0.38904670898437504
random,0.55,visit,0.55,7040,True,0.035390625,0.025057617187500016,0.04395410156250002,-0.003398437500000004,-0.0108544921875,0.006123046875000001
random,0.55,spend,0.55,7040,True,0.4120277343750001,0.0364605761718751,0.8099466210937502,0.18455039062499998,-0.20708226562499996,0.631767421875
random,0.6,visit,0.6,7680,True,0.03937500000000001,0.02926171875000002,0.048750000000000016,-0.0012890624999999933,-0.008334960937499998,0.008091796875
random,0.6,spend,0.6,7680,True,0.4775332031250001,0.0677483203125002,0.9315913183593749,0.21828867187499995,-0.14259222656249995,0.6502342968750003
random,0.65,visit,0.65,8320,True,0.04453125,0.03490722656250002,0.054257812500000016,0.0003515624999999925,-0.008091796875000001,0.008437499999999994
random,0.65,spend,0.65,8320,True,0.49364531250000016,0.055495605468750014,1.0102754296875007,0.23791523437500006,-0.04929161132812485,0.6080887792968751
random,0.7,visit,0.7,8960,True,0.048984375,0.039585937500000015,0.05977148437500002,0.00011718749999999056,-0.007631835937499997,0.007382812499999988
random,0.7,spend,0.7,8960,True,0.5138203125000002,0.05421087890625016,1.0397908300781258,0.16868203124999998,-0.09197586914062507,0.48967532226562493
random,0.75,visit,0.75,9600,True,0.05085937500000001,0.040640625000000014,0.06119824218750002,0.0004687500000000108,-0.006799804687500001,0.007151367187500001
random,0.75,spend,0.75,9600,True,0.5445949218750001,0.08533391601562523,1.0580907128906256,0.16200703125,-0.048537421874999945,0.4621889648437501
random,0.8,visit,0.8,10240,True,0.05296875000000001,0.04236914062500002,0.06387890625000002,0.0008203125000000103,-0.0058681640624999995,0.007971679687499978
random,0.8,spend,0.8,10240,True,0.5332066406250001,0.08924762695312516,1.0581166406250004,0.08304609375000005,-0.11520149414062504,0.30600076171875024
random,0.85,visit,0.85,10880,True,0.0544921875,0.04344433593750002,0.06586816406250001,0.00011718749999999056,-0.005991210937500004,0.005627929687499985
random,0.85,spend,0.85,10880,True,0.5374769531250001,0.08653133789062525,1.0875834375000004,0.060127734375000075,-0.15823769531250023,0.2924998242187499
random,0.9,visit,0.9,11520,True,0.05835937500000001,0.046505859375000035,0.06973828125000002,0.0025781250000000006,-0.0022294921875000077,0.007737304687499995
random,0.9,spend,0.9,11520,True,0.5839582031250002,0.16678450195312522,1.1533932421875,0.0820511718750001,-0.09686411132812493,0.2832101367187503
random,0.95,visit,0.95,12160,True,0.06105468750000001,0.049192382812500025,0.07183886718750002,0.0030468750000000044,-2.9296875000135793e-06,0.0059794921874999985
random,0.95,spend,0.95,12160,True,0.5999882812500001,0.18066111328125026,1.1533932421875,0.02894999999999992,-0.12526763671875005,0.18028869140625
random,1.0,visit,1.0,12800,True,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.0,0.0,0.0
random,1.0,spend,1.0,12800,True,0.6710414062500001,0.20026045898437533,1.234722099609375,0.0,0.0,0.0
no_contact,0.05,visit,0.0,0,True,0.0,0.0,0.0,-0.003164062500000001,-0.006914062500000001,0.0011748046874999964
no_contact,0.05,spend,0.0,0,True,0.0,0.0,0.0,-0.055523437500000015,-0.14992822265625,0.025242011718749978
no_contact,0.1,visit,0.0,0,True,0.0,0.0,0.0,-0.009375000000000001,-0.015120117187500004,-0.0038613281250000028
no_contact,0.1,spend,0.0,0,True,0.0,0.0,0.0,-0.04572773437500002,-0.16577727539062503,0.09133470703124998
no_contact,0.15,visit,0.0,0,True,0.0,0.0,0.0,-0.014882812500000004,-0.021120117187500006,-0.008311523437500006
no_contact,0.15,spend,0.0,0,True,0.0,0.0,0.0,-0.06636093750000002,-0.19785691406249997,0.09174231445312499
no_contact,0.2,visit,0.0,0,True,0.0,0.0,0.0,-0.02015625,-0.027665039062500004,-0.013579101562500005
no_contact,0.2,spend,0.0,0,True,0.0,0.0,0.0,-0.07626093750000003,-0.3131894824218751,0.19100806640625007
no_contact,0.25,visit,0.0,0,True,0.0,0.0,0.0,-0.0209765625,-0.02906542968750001,-0.012164062500000003
no_contact,0.25,spend,0.0,0,True,0.0,0.0,0.0,-0.14822695312500003,-0.43119474609374997,0.133311005859375
no_contact,0.3,visit,0.0,0,True,0.0,0.0,0.0,-0.026250000000000006,-0.03469042968750001,-0.017311523437500004
no_contact,0.3,spend,0.0,0,True,0.0,0.0,0.0,-0.24027539062500008,-0.5997603515625001,0.10332621093749993
no_contact,0.35,visit,0.0,0,True,0.0,0.0,0.0,-0.030234375000000008,-0.03808593750000001,-0.02026464843750002
no_contact,0.35,spend,0.0,0,True,0.0,0.0,0.0,-0.2795226562500001,-0.6588433886718751,0.04285617187500006
no_contact,0.4,visit,0.0,0,True,0.0,0.0,0.0,-0.03199218750000001,-0.04019531250000001,-0.020853515625000017
no_contact,0.4,spend,0.0,0,True,0.0,0.0,0.0,-0.3685125000000001,-0.7323329589843751,-0.009891914062499908
no_contact,0.45,visit,0.0,0,True,0.0,0.0,0.0,-0.03480468750000001,-0.04312500000000001,-0.023188476562500015
no_contact,0.45,spend,0.0,0,True,0.0,0.0,0.0,-0.32877773437500013,-0.6877506738281249,0.05848781249999997
no_contact,0.5,visit,0.0,0,True,0.0,0.0,0.0,-0.03539062500000001,-0.044885742187500015,-0.02340527343750001
no_contact,0.5,spend,0.0,0,True,0.0,0.0,0.0,-0.40803398437500005,-0.777912978515625,-0.033863349609374836
no_contact,0.55,visit,0.0,0,True,0.0,0.0,0.0,-0.038789062500000006,-0.049464843750000015,-0.02612988281250002
no_contact,0.55,spend,0.0,0,True,0.0,0.0,0.0,-0.22747734375000014,-0.6809216015625,0.23378244140624996
no_contact,0.6,visit,0.0,0,True,0.0,0.0,0.0,-0.0406640625,-0.050393554687500015,-0.028122070312500018
no_contact,0.6,spend,0.0,0,True,0.0,0.0,0.0,-0.25924453125000013,-0.7148153027343751,0.20066657226562476
no_contact,0.65,visit,0.0,0,True,0.0,0.0,0.0,-0.04417968750000001,-0.05474414062500002,-0.03172558593750001
no_contact,0.65,spend,0.0,0,True,0.0,0.0,0.0,-0.2557300781250001,-0.70531001953125,0.20075443359374992
no_contact,0.7,visit,0.0,0,True,0.0,0.0,0.0,-0.048867187500000006,-0.06013183593750002,-0.03527050781250002
no_contact,0.7,spend,0.0,0,True,0.0,0.0,0.0,-0.3451382812500002,-0.813911806640625,0.12682221679687522
no_contact,0.75,visit,0.0,0,True,0.0,0.0,0.0,-0.050390625,-0.06188671875000002,-0.03689648437500002
no_contact,0.75,spend,0.0,0,True,0.0,0.0,0.0,-0.38258789062500015,-0.8443307519531251,0.10576283203124988
no_contact,0.8,visit,0.0,0,True,0.0,0.0,0.0,-0.0521484375,-0.06295019531250001,-0.03737988281250003
no_contact,0.8,spend,0.0,0,True,0.0,0.0,0.0,-0.45016054687500007,-0.9721505859375,0.07148264648437497
no_contact,0.85,visit,0.0,0,True,0.0,0.0,0.0,-0.05437500000000001,-0.06563671875000003,-0.03995214843750004
no_contact,0.85,spend,0.0,0,True,0.0,0.0,0.0,-0.47734921875,-1.0113477832031248,0.037234365234375
no_contact,0.9,visit,0.0,0,True,0.0,0.0,0.0,-0.05578125000000001,-0.06750878906250003,-0.04272949218750004
no_contact,0.9,spend,0.0,0,True,0.0,0.0,0.0,-0.5019070312500001,-1.0495696874999998,0.037146503906249975
no_contact,0.95,visit,0.0,0,True,0.0,0.0,0.0,-0.058007812500000006,-0.06949218750000002,-0.04460742187500004
no_contact,0.95,spend,0.0,0,True,0.0,0.0,0.0,-0.5710382812500002,-1.1737404199218753,-0.07283809570312529
no_contact,1.0,visit,0.0,0,True,0.0,0.0,0.0,-0.06093750000000002,-0.07277636718750002,-0.04697753906250003
no_contact,1.0,spend,0.0,0,True,0.0,0.0,0.0,-0.6710414062500001,-1.234722099609375,-0.20026045898437528
treat_all,0.05,visit,1.0,12800,False,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.05777343750000002,0.04520507812500004,0.06999023437500003
treat_all,0.05,spend,1.0,12800,False,0.6710414062500001,0.20026045898437533,1.234722099609375,0.6155179687500001,0.17608417968750012,1.1513922949218756
treat_all,0.1,visit,1.0,12800,False,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.05156250000000002,0.04028320312500003,0.06469042968750001
treat_all,0.1,spend,1.0,12800,False,0.6710414062500001,0.20026045898437533,1.234722099609375,0.6253136718750001,0.16209770507812524,1.1646234960937505
treat_all,0.15,visit,1.0,12800,False,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.04605468750000002,0.03351562500000003,0.05848535156250001
treat_all,0.15,spend,1.0,12800,False,0.6710414062500001,0.20026045898437533,1.234722099609375,0.60468046875,0.13272079101562514,1.1372569628906255
treat_all,0.2,visit,1.0,12800,False,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.04078125000000002,0.028119140625000035,0.05191699218750001
treat_all,0.2,spend,1.0,12800,False,0.6710414062500001,0.20026045898437533,1.234722099609375,0.59478046875,0.1522295507812502,1.0458955078124998
treat_all,0.25,visit,1.0,12800,False,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.039960937500000016,0.028924804687500034,0.05051953125000001
treat_all,0.25,spend,1.0,12800,False,0.6710414062500001,0.20026045898437533,1.234722099609375,0.5228144531250001,0.08399610351562518,0.9589037402343751
treat_all,0.3,visit,1.0,12800,False,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.03468750000000001,0.024489257812500016,0.04488574218750002
treat_all,0.3,spend,1.0,12800,False,0.6710414062500001,0.20026045898437533,1.234722099609375,0.430766015625,0.024609199218750093,0.7996949414062502
treat_all,0.35,visit,1.0,12800,False,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.03070312500000001,0.020958984375000017,0.040913085937500024
treat_all,0.35,spend,1.0,12800,False,0.6710414062500001,0.20026045898437533,1.234722099609375,0.39151874999999997,0.0035672460937500863,0.73970080078125
treat_all,0.4,visit,1.0,12800,False,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.028945312500000007,0.019212890625000013,0.03692285156250001
treat_all,0.4,spend,1.0,12800,False,0.6710414062500001,0.20026045898437533,1.234722099609375,0.30252890625,-0.11967539062499982,0.6680816308593749
treat_all,0.45,visit,1.0,12800,False,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.026132812500000012,0.016634765625000027,0.03411621093750001
treat_all,0.45,spend,1.0,12800,False,0.6710414062500001,0.20026045898437533,1.234722099609375,0.34226367187499995,-0.04567040039062483,0.6525355078125002
treat_all,0.5,visit,1.0,12800,False,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.02554687500000001,0.017689453125000025,0.03328125000000001
